Temperature,Humidity,Soil,NeedWater
19,52,21,1
26,41,14,1
35,56,53,0
23,43,53,0
40,50,30,0
31,84,21,1
30,39,10,1
32,41,15,1
22,43,12,1
31,71,71,0
19,84,49,0
33,48,87,1
36,86,50,1
38,67,65,0
38,85,86,0
33,68,63,0
19,89,33,0
20,93,72,0
23,56,53,0
20,81,68,0
28,36,34,1
38,58,11,1
25,60,78,0
19,75,46,0
38,81,39,0
23,44,78,0
32,37,11,1
24,36,42,0
39,52,65,0
18,41,89,0
29,80,21,1
18,85,78,0
35,79,61,1
28,51,70,1
35,56,63,0
38,75,30,1
31,39,28,1
25,82,20,1
38,38,76,1
27,44,47,0
30,58,26,0
28,68,25,0
36,59,65,0
22,64,12,1
40,77,67,0
18,45,76,0
34,67,81,0
34,41,79,1
25,92,82,0
26,94,74,0
28,51,60,1
34,40,35,1
18,47,44,0
20,73,50,0
35,69,27,1
35,43,71,1
30,84,13,1
36,90,72,0
25,88,74,0
37,75,10,1
37,73,73,0
36,42,16,1
32,58,63,0
24,84,67,0
24,87,33,0
19,88,63,0
26,88,32,0
30,58,18,1
21,93,43,0
37,55,17,1
19,72,59,0
32,71,51,0
32,52,66,0
29,50,68,0
26,56,16,1
18,62,73,0
33,69,15,1
35,44,51,1
25,73,14,1
37,84,46,0
18,55,59,0
20,90,42,0
31,57,64,1
18,66,31,0
26,68,31,0
34,88,34,1
32,49,46,0
21,63,88,0
26,86,34,0
20,75,60,0
32,42,17,1
38,62,76,0
33,43,34,1
25,37,41,0
20,60,13,0
38,55,80,1
25,81,65,0
23,54,24,1
38,87,51,0
18,82,56,0
32,49,63,0
39,93,65,0
24,59,19,1
33,90,15,1
33,81,23,1
32,94,55,0
18,63,76,0
29,48,59,0
21,67,22,1
28,82,20,1
24,59,33,0
33,43,10,1
20,56,14,1
25,64,65,0
39,60,17,1
21,64,21,1
19,57,66,0
24,87,40,0
31,56,28,0
18,53,51,0
29,85,39,0
19,70,18,1
25,53,40,0
18,85,87,0
38,90,79,0
31,70,57,0
22,89,63,0
37,53,54,0
18,86,54,0
18,76,47,0
23,74,51,0
21,81,86,0
35,47,61,1
20,47,36,0
31,84,71,0
35,69,30,1
26,81,13,1
38,78,30,1
29,46,22,1
40,73,22,1
20,58,17,1
29,43,42,0
37,51,76,0
21,77,78,0
28,53,49,0
25,35,21,1
37,41,66,1
29,95,33,0
22,59,10,1
25,93,10,1
22,86,20,1
26,61,31,0
30,87,49,0
18,42,82,0
36,38,79,1
27,54,86,0
39,56,12,1
27,53,35,0
33,37,64,1
22,45,16,1
20,63,84,0
30,71,65,0
29,39,37,0
19,95,78,0
40,36,36,1
22,89,77,0
40,38,62,1
33,74,59,0
23,76,61,0
39,78,23,1
24,44,27,1
39,72,48,0
31,80,43,0
23,69,77,0
35,40,10,1
37,80,28,1
37,95,86,0
38,50,90,0
35,65,13,1
32,58,46,0
36,72,53,0
19,58,16,1
33,86,57,0
39,46,23,1
37,39,39,1
22,67,22,1
33,94,77,0
38,85,77,0
28,95,87,0
31,85,44,0
33,46,40,1
40,88,16,1
40,84,28,1
19,43,28,1
23,78,61,0
23,84,81,0
34,95,33,1
33,67,10,1
26,57,74,0
25,39,64,0
33,60,50,1
31,90,63,0
28,63,69,1
19,80,55,0
25,79,80,0
35,65,85,0
39,49,14,1
38,63,35,0
33,62,11,1
38,94,26,1
29,69,49,0
29,48,16,1
22,68,11,1
34,61,61,0
20,86,34,0
25,56,63,0
21,60,19,1
30,41,35,0
40,42,57,1
20,90,18,1
38,76,67,0
31,95,67,0
31,38,22,1
34,60,58,0
28,58,54,0
37,46,25,0
30,67,51,1
24,86,46,0
27,44,50,0
29,49,78,0
19,74,70,0
24,56,40,0
35,49,49,1
23,47,69,0
28,65,90,0
26,62,47,0
30,90,69,0
37,89,51,0
36,74,77,0
19,45,63,0
32,78,88,0
25,84,47,0
34,50,63,0
20,72,59,0
29,64,90,0
23,57,85,0
27,61,29,0
26,74,39,0
24,53,34,0
19,83,49,0
24,74,67,1
23,84,52,0
23,55,15,1
19,57,37,0
32,62,32,0
35,68,16,1
25,76,23,1
22,50,49,0
22,72,57,0
18,74,72,0
31,81,86,0
36,44,34,1
39,85,66,0
39,72,35,0
23,49,73,0
21,41,48,0
40,36,73,1
38,94,61,0
38,86,39,0
31,93,19,1
26,70,48,0
22,74,36,0
18,77,21,1
27,66,19,1
28,67,19,1
27,41,67,0
22,51,52,0
32,89,48,0
33,65,54,0
21,49,55,0
40,51,44,0
20,41,11,1
29,58,67,0
22,46,40,0
39,56,36,0
22,87,80,0
31,58,58,0
36,58,60,0
31,78,10,1
25,65,38,0
25,44,86,0
40,74,51,0
18,76,69,0
39,38,40,0
22,86,44,0
23,77,30,0
22,46,45,0
35,65,17,1
31,51,51,0
20,49,66,0
27,92,21,1
23,61,45,0
32,69,71,0
19,50,28,0
31,49,23,1
19,93,89,0
29,89,26,0
25,36,18,1
35,67,71,0
33,53,34,1
30,86,90,0
34,74,37,0
19,77,76,0
38,90,48,0
33,53,27,1
30,55,26,0
20,95,57,0
29,41,88,0
19,80,12,1
36,37,89,1
28,76,23,1
24,87,48,0
25,63,85,0
24,72,52,0
33,72,42,0
33,58,75,0
23,64,73,0
38,43,28,1
19,77,56,0
33,76,37,0
18,48,39,0
37,43,43,1
22,93,84,0
